2022-05-06 09:56:53>> user_id: 1,  message: #log: user registered
2022-05-06 09:56:57>> user_id: 2,  message: #log: user registered
2022-05-06 09:57:00>> user_id: 3,  message: #log: user registered
2022-05-06 09:57:05>> user_id: 1,  message: 1
2
3

2022-05-06 09:57:18>> user_id: 2,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: 3,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:18>> user_id: -1,  message: Kocham sysopy

2022-05-06 09:57:48>> user_id: 1,  message: Kocham sysopy

2022-05-06 10:48:01>> user_id: 1,  message: #log: user registered
2022-05-06 10:48:04>> user_id: 2,  message: #log: user registered
2022-05-06 10:48:07>> user_id: 3,  message: #log: user registered
2022-05-06 10:48:10>> user_id: 1,  message: 1
2
3

2022-05-06 10:48:20>> user_id: 2,  message: test

2022-05-06 10:48:20>> user_id: 3,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:20>> user_id: -1,  message: test

2022-05-06 10:48:50>> user_id: 2,  message: test2

2022-05-06 10:49:16>> user_id: 1,  message: test2

